Post Link	Date	Time	Message	Reactions	Comment	Shares	Clicks	Impressions	Engagement Rate %	Click Through Rate	Post id	Post Type	New Followers from posts
"HaystackAnalytics
Sep 20, 05:55"	20-09-2025	05:55	"At CIDSCON 2025, our stall was buzzing with energy! ??? Doctors and attendees didn’t just stop by—they engaged and shared. From participating in clinical- and pathogen-based riddles and quizzes, to voicing their perspectives on NGS in diagnostics and raising awareness about the challenges of sepsis—every interaction brought insights, curiosity, and meaningful conversations. Here’s to more conversations, discoveries, and shared curiosity in the world of diagnostics! Pranali Dongre Shruti Satpute Abhimanyuu Nambisan Pranav Godse Shuja A. siddharth sasane Rohan S SALVI Mohammad Umair Dr. Nidhi G. Simran Malik Akhil Bhalerao Gitesh Srivastava Prachi Singh, PhD #HealthCare #PublicHealth #Diagnostic #CIDSCON2025 #Genomics #InfectiousDiseases"	29	0	3	32	958	6.68	3.34	11	Video	0
"HaystackAnalytics
Sep 20, 10:40"	20-09-2025	10:40	"?? Winner Spotlight – Clinical Case Study Contest, CIDSCON 2025 We’re proud to celebrate Dr. Dhakad Jinal Narendra (Jaslok Hospital), whose case study write-up stood out for the way it sparked meaningful insights, encouraged peer learning, and highlighted the importance of thoughtful, evidence-based diagnostics in tackling complex clinical challenges At CIDSCON, the case was further discussed with Dr Mahua Das Gupta (Kapoor) in our Coffee over Genomics series - a conversation that brought the write-up to life with clinical depth and practical perspectives. ? Stay tuned — the complete discussion will be out soon on YouTube! #CoffeeOverGenomics #HealthCare #PublicHealth #Diagnostics #Genomics #CIDSCON2025 #ClinicalExcellence #NGS"	10	0	0	26	"1,056"	3.41	2.46	12	Static	0
"HaystackAnalytics
Sep 20, 11:28"	20-09-2025	11:28	"?? Could a hypothesis-free test help in diagnosis? At Coffee over Genomics during CIDSCON, doctors came together to share real-world patient case studies. In this session, Dr Mahua Das Gupta (Kapoor) explored how Next-Generation Sequencing (NGS) can uncover answers when traditional tests come up short, offering insights into complex diagnostic challenges. From puzzling cases to actionable solutions, this discussion highlights the power of NGS in modern clinical practice — helping doctors make informed decisions and improving patient outcomes. ? Watch this snippet and dive into the complete Case Study Discussion on YouTube with the Link below ?? https://lnkd.in/dJqHBVe6 Abhimanyuu Nambisan Pranav Godse Shuja A. Rohan S SALVI siddharth sasane Simran Malik Simone Jetha Mohammad Umair Gitesh Srivastava Dr. Nidhi G. #HealthCare #PublicHealth #Diagnostic #Genomics #InfectiousDiseases"	22	0	1	53	"1,158"	6.56	4.58	13	Video	0
"HaystackAnalytics
Sep 22, 06:34"	22-09-2025	06:34	"?? Informed decisions. Safer prescriptions. In this Coffee over Genomics discussion, Dr Noopur Kedare (Infectious Disease Specialist, Medicover Hospital) shares how NGS helps guide antibiotic stewardship — ensuring that treatment is precise, and unnecessary antibiotics are avoided when results come back negative. The conversation, moderated by Simran Malik (Medical Science Liaison, HaystackAnalytics), highlights the clinical importance of making evidence-based decisions that protect patients and reduce resistance. ? Catch the complete case discussion now on YouTube with the Link Below ?? https://lnkd.in/dHw-wUZ7 Abhimanyuu Nambisan Pranav Godse siddharth sasane Shuja A. Rohan S SALVI Mohammad Umair Gitesh Srivastava #CoffeeOverGenomics #CIDSCON2025 #AntibioticStewardship #NGS"	27	0	3	56	"1,245"	6.91	4.5	14	Video	0
"HaystackAnalytics
Sep 22, 13:12"	22-09-2025	13:12	"A complicated case. Multiple rounds of testing. Yet, every result came back negative. Culture didn’t help. Panel-based tests gave no clarity. Meanwhile, the patient’s condition kept worsening. Dr Bansidhar Tarai shares how, at this critical juncture, he turned to sequencing — and how infexn™ NGS provided the answer conventional methods had missed, delivering the accurate pathogen detection that changed the course of treatment. This case reflects the growing need for precision diagnostics — and how infexn™ NGS delivers clarity when complexity rises. Watch the complete video with the Link below ?? https://lnkd.in/dH4UXbvB Gaurav Srivastava Anirvan Chatterjee Abhimanyuu Nambisan Dr Mahua Das Gupta (Kapoor) Pranav Godse siddharth sasane Shuja A. Rohan S SALVI Gitesh Srivastava Anupama Pradeepkumar Namith N Rijul Pulikkal Mohammad Umair Gopal Singh #HealthCare #Diagnostics #Genomics #PublicHealth"	26	0	1	38	991	6.56	3.83	15	Video	0
"HaystackAnalytics
Sep 23, 05:44"	23-09-2025	05:44	"Fragmented DNA. False negatives. Missed answers. That’s what PCR and Microarray sometimes left behind. ? In this Coffee over Genomics session, Aneesh Nair Ph.D , joined by Simone Jetha, shares why he made the shift to Next-Generation Sequencing (NGS) — and how it’s changing the way infections are diagnosed. ?? Watch the complete discussion now on YouTube - https://lnkd.in/gxaafAPf Gaurav Srivastava Anirvan Chatterjee Dr Mahua Das Gupta (Kapoor) Abhimanyuu Nambisan Pranav Godse siddharth sasane Shuja A. Rohan S SALVI Simran Malik Gitesh Srivastava Anupama Pradeepkumar Mohammad Umair Rijul Pulikkal Gopal Singh #CoffeeOverGenomics #CIDSCON2025 #NGS #Diagnostics #HealthCare #Diagnostics"	43	0	3	100	"1,657"	8.81	6.04	16	Video	0
"HaystackAnalytics
Sep 23, 12:30"	23-09-2025	12:30	"A complex infection. Multiple tests. Yet, every result came back negative. Sputum samples, upper respiratory panels, and broncho cultures all failed to provide clarity, while the patient’s condition continued to deteriorate. Dr. Siddhant Shetty shares his experience with this challenging case, where conventional diagnostics fell short. Turning to sequencing with infexn™ NGS, he was able to identify the accurate pathogen — guiding the right treatment and changing the course of the patient’s care. This case highlights the critical need for precision diagnostics and demonstrates how infexn™ NGS delivers clarity when conventional tests reach their limits Gaurav Srivastava Anirvan Chatterjee Dr Mahua Das Gupta (Kapoor) Abhimanyuu Nambisan Pranav Godse siddharth sasane Shuja A. Rohan S SALVI Mohammad Umair Gitesh Srivastava Rijul Pulikkal Simran Malik #HealthCare #PublicHealth #Diagnostics #Genomics #InfectiousDiseases"	11	0	0	47	824	7.04	5.7	17	Video	1
"HaystackAnalytics
Sep 25, 12:36"	25-09-2025	12:36	"Redefining pediatric respiratory infection care - one test at a time. Dr. Parul Shukla, Pediatrician - shares how FLU-NGS is transforming the way pediatric respiratory infections are diagnosed and managed. With painless sampling, comprehensive detection, and results delivered in just 24 hours, it gives doctors the clarity they need to make the right treatment decisions — including when antibiotics are not necessary. This not only improves clinical outcomes but also brings immense relief to parents, who gain answers without long waits or unnecessary medications. For children, it means faster recovery, gentler care, and a healthier future — all starting with a single, powerful test. Rohan S SALVI Abhimanyuu Nambisan Pranav Godse siddharth sasane Shuja A. Gitesh Srivastava Mohammad Umair Anupama Pradeepkumar Namith N Gaurav Srivastava Dr Mahua Das Gupta (Kapoor) #HealthCare #Diagnostics #Genomics #PublicHealth #PediatricCare #Pediatrician"	12	0	1	39	814	6.39	4.79	18	Video	0
"HaystackAnalytics
Sep 27, 05:56"	27-09-2025	05:56	"We’re thrilled to share a proud milestone for HaystackAnalytics on the global stage! ?? At an international life sciences event, HaystackAnalytics was honored with not one but two prestigious awards — the Winner Life Sciences Track Award and the Overall Winner Award ??. This recognition is a testament to our vision of transforming infectious disease diagnostics through cutting-edge genomic technology. infexn™ NGS, our breakthrough solution in infectious disease detection, continues to redefine how infections are identified and treated — delivering unmatched accuracy, speed, and comprehensiveness to clinicians and patients worldwide. Representing HaystackAnalytics at this global platform were Anirvan Chatterjee (CEO & Co-founder) and Amrutraj Zade (Head – R&D), whose leadership and innovation continue to drive our mission forward. From India to the world, this recognition reinforces our belief that the future of diagnostics is here — and it’s powered by next-generation sequencing. ?? Gaurav Srivastava Dr Mahua Das Gupta (Kapoor) Abhimanyuu Nambisan Ranjan K. Pranav Godse siddharth sasane Rohan S SALVI Shuja A. Gitesh Srivastava Anupama Pradeepkumar Namith N Mohammad Umair Vivek Singh Rathore Simran Malik Rijul Pulikkal #HealthCare #PublicHealth #Genomics #LifeScience #Innovation #Diagnostics"	139	12	18	263	"5,126"	8.43	5.13	19	Static	6
"HaystackAnalytics
Sep 30, 12:24"	30-09-2025	12:24	"?? Don’t miss out! Join us for a free webinar on ""Revolutionizing Infectious Disease Diagnosis in Paediatric Critical Care"" and see how infexn™ NGS is transforming infection detection with precision and speed. ??? Expert Speaker: Dr Mukul Pandey, Head, PICU – St. Stephen’s Hospital, Delhi ????? Moderator: Dr. Koyel Ghosh, Medical Science Liaison, Delhi, HaystackAnalytics Get valuable insights on how NGS is reshaping clinical decision-making in paediatric intensive care. ?? Date: 9th October ? Time: 5:00 – 6:00 PM ?? Registration Link: https://lnkd.in/drVKDh3K ?? Reserve your spot now and be part of the conversation shaping the future of paediatric care! Vivek Singh Rathore Mohammad Umair Gopal Singh Dr. Nidhi G. Abhimanyuu Nambisan Pranav Godse siddharth sasane Shuja A. Rohan S SALVI Gitesh Srivastava Anupama Pradeepkumar Namith N Rijul Pulikkal Dr Mahua Das Gupta (Kapoor) #Webinar #NGS #PaediatricCare #InfectiousDiseases #infexn #Healthcare #PublicHealth"	10	0	0	21	816	3.8	2.57	20	Static	0
"HaystackAnalytics
Oct 01, 06:05"	01-10-2025	06:05	"Heart health isn’t just about lifestyle — genetics plays a big role too. While two people may follow the same lifestyle, their heart risks can differ significantly because of genetic variations. This is a perspective that deserves more attention, especially as heart concerns rise among younger generations. Dr. Aparna Bhanushali shares her expert insights on this crucial connection between genetics, lifestyle, and heart health in leading publications — Hindustan Times and Firstpost. From understanding why millennials are increasingly at risk, to exploring how personalized approaches to diet and health can make a difference — these articles shed light on how science is reshaping our understanding of heart disease. ?? Read the complete articles here: ?? Hindustan Times: https://lnkd.in/dxYcGyCG ?? Firstpost: https://lnkd.in/digr-__R #HeartHealth #Cardiology #Genomics #Healthcare #PublicHealth Pranav Godse siddharth sasane Rohan S SALVI Shuja A. Gitesh Srivastava Anupama Pradeepkumar Namith N Mohammad Umair"	29	0	1	37	"1,129"	5.93	3.28	21	Static	0
"HaystackAnalytics
Oct 02, 03:30"	02-10-2025	03:30	"?? 1 Week to Go! ?? Join us for a FREE webinar on: Revolutionizing Infectious Disease Diagnosis in Pediatric Critical Care with NGS ?? ?? Date: 9th October 2025 ? Time: 5 PM – 6 PM ?? Speaker: Dr Mukul Pandey, PICU Head, St. Stephen’s Hospital, Delhi ?? Moderator: Dr. Koyel Ghosh, Medical Science Liaison, HaystackAnalytics ?? Reserve your spot today and discover how NGS brings precision, speed, and clarity to pediatric critical care. ??https://lnkd.in/drVKDh3K Vivek Singh Rathore Mohammad Umair Dr. Nidhi G. Abhimanyuu Nambisan Pranav Godse siddharth sasane Shuja A. Rohan S SALVI Gitesh Srivastava Anupama Pradeepkumar Namith N Rijul Pulikkal #PediatricCare #CriticalCare #Webinar #NGS #HealthcareInnovation #HaystackAnalytics"	6	0	1	30	933	3.97	3.22	22	Static	0
"HaystackAnalytics
Oct 04, 05:38"	04-10-2025	05:38	"Excited to announce our upcoming FREE Webinar on the Clinical Impact of NGS for Lower Respiratory Tract Infections! ?? ?? Date: 14th October, 2025 ?? Time: 05:00 PM – 06:00 PM (IST) Join us as Dr. Shamim Akhtar (HOD, Pulmonology Department, St. Stephen’s Hospital, Delhi) shares his clinical insights on how Next-Generation Sequencing (NGS) is reshaping the way we diagnose and manage lower respiratory tract infections. The session will be moderated by Koyel Ghosh (Medical Science Liaison, HaystackAnalytics, Delhi), ensuring a rich and engaging discussion. ?? Register now to be part of this transformative conversation! https://lnkd.in/dkVU_Tbz Vivek Singh Rathore Mohammad Umair Dr. Nidhi G. Abhimanyuu Nambisan Pranav Godse siddharth sasane Shuja A. Rohan S SALVI Gitesh Srivastava Anupama Pradeepkumar Namith N Rijul Pulikkal #Healthcare #PublicHealth #Pulmocare #Pulmonology #Respiratorycare"	11	0	1	14	782	3.32	1.79	23	Static	0
"HaystackAnalytics
Oct 04, 08:30"	04-10-2025	08:30	"?? Only 5 days to go! How is Next-Generation Sequencing (NGS) reshaping infectious disease diagnosis in children’s critical care units? ???? Join Dr Mukul Pandey (PICU Head at St. Stephen's Hospital) and Dr. Koyel Ghosh (Medical Science Liaison, HaystackAnalytics) as they discuss how NGS enables faster, more precise pathogen detection, improving treatment outcomes and saving lives in pediatric ICUs. ?? Date: 9th October 2025 ?? Time: 5 PM – 6 PM ?? Don’t miss this opportunity to explore how advanced genomics is changing the future of pediatric healthcare. ?? Register now! https://lnkd.in/drVKDh3K #Healthcare #PublicHealth #Pediatrics #Diagnostics #Genomics Vivek Singh Rathore Mohammad Umair Dr. Nidhi G. Gopal Singh Abhimanyuu Nambisan siddharth sasane Shuja A. Rohan S SALVI Pranav Godse Gitesh Srivastava Rijul Pulikkal"	1	0	0	14	807	1.86	1.73	24	Static	0
"HaystackAnalytics
Oct 04, 13:50"	04-10-2025	13:50	"????? Expert Spotlight We are delighted to host Dr Mukul Pandey, Head of PICU at St. Stephen’s Hospital, Delhi, as our speaker for the upcoming webinar on “Revolutionizing Infectious Disease Diagnosis in Pediatric Critical Care with NGS” With over 15 years of experience in pediatric critical care, ECMO, and developmental neurology, Dr. Mukul brings unmatched expertise and a holistic approach to child health. ?? 9th October, 2025 ? 05:00 PM – 06:00 PM (IST) ? Don’t miss this opportunity to learn from one of the leading voices shaping pediatric critical care. Register now: https://lnkd.in/drVKDh3K #Healthcare #PediatricHealth #PublicHealth #Peadiatrics #Genomics Vivek Singh Rathore Mohammad Umair Dr. Nidhi G. Gopal Singh Abhimanyuu Nambisan Koyel Ghosh Pranav Godse siddharth sasane Shuja A. Rohan S SALVI Gitesh Srivastava Rijul Pulikkal"	18	0	0	31	"1,147"	4.27	2.7	25	Static	0
"HaystackAnalytics
Oct 06, 06:26"	06-10-2025	06:26	"?? 3 Days to Go! Join us for an insightful Free Webinar on “Revolutionizing Infectious Disease Diagnosis in Pediatric Critical Care with NGS.” ??? Speaker: Dr Mukul Pandey, PICU Head, St. Stephen’s Hospital, Delhi ?? Moderator: Dr Koyel Ghosh, Medical Science Liaison, HaystackAnalytics ??? 9th October 2025 ?? 5 PM – 6 PM ?? Register now and discover how NGS is transforming pediatric infection diagnostics. https://lnkd.in/drVKDh3K Vivek Singh Rathore Mohammad Umair Dr. Nidhi G. Gopal Singh Abhimanyuu Nambisan Pranav Godse siddharth sasane Shuja A. Rohan S SALVI Gitesh Srivastava Anupama Pradeepkumar Rijul Pulikkal #Webinar #PediatricCriticalCare #InfectiousDiseases #Healthcare #PublicHealth #NextGenerationSequencing #HaystackAnalytics"	8	0	0	7	643	2.33	1.09	26	Static	1
"HaystackAnalytics
Oct 07, 06:56"	07-10-2025	06:56	"?? 1 Week to Go! Lower respiratory tract infections are a major healthcare challenge that demand rapid and accurate pathogen detection. Join us to learn how Next-Generation Sequencing (NGS) is transforming diagnostics and improving patient outcomes. ?? Topic: Clinical Impact of NGS for Lower Respiratory Tract Infections ?? Date: 14th October 2025 ?? Time: 05:00 PM – 06:00 PM (IST) ??? Speaker: Dr. Shamim Akhtar, HOD – Pulmonology, St. Stephen’s Hospital, Delhi ?? Moderator: Dr. Koyel Ghosh, Medical Science Liaison, HaystackAnalytics ?? Don’t miss this session — Register now and be part of the discussion! https://lnkd.in/dkVU_Tbz #HealthCare #PublicHealth #RespiratoryCare #InfectiousDiseases #Genomics #Diagnostics Vivek Singh Rathore Mohammad Umair Dr. Nidhi G. Gopal Singh Abhimanyuu Nambisan Pranav Godse siddharth sasane Shuja A. Gitesh Srivastava Anupama Pradeepkumar Namith N Rijul Pulikkal"	6	0	1	20	859	3.14	2.33	27	Static	0
"HaystackAnalytics
Oct 07, 13:51"	07-10-2025	13:51	Diagnosing infectious diseases in critically ill children is often challenging. We want to know: what’s the biggest hurdle you face in your practice? ? Take a moment to vote in our poll and share your experience. ?? Want to explore cutting-edge solutions for these challenges? Join our upcoming webinar: “Revolutionizing Infectious Disease Diagnosis in Pediatric Critical Care with NGS” Register now: https://lnkd.in/drh2aBAk #Healthcare #Publichealth #Pediatrics #CriticalCare #Genomics	1	0	0	74	"3,245"	2.31	2.28	28	Poll	0
"HaystackAnalytics
Oct 08, 05:41"	08-10-2025	05:41	"How is NGS transforming pediatric infectious disease diagnosis? Join us for an insightful webinar on how Next-Generation Sequencing (NGS) is reshaping pediatric critical care by enabling faster, more accurate pathogen detection and improving patient outcomes. ?? 9th October 2025 | ?? 5 – 6 PM ?? Speaker: Dr. Mukul Pandey, PICU Head, St. Stephen’s Hospital, Delhi Moderator: Dr. Koyel Ghosh – Medical Science Liaison, HaystackAnalytics ??Register now and be part of the future of infectious disease diagnostics!"	5	0	1	12	"1,050"	1.71	1.14	29	Static	0
"HaystackAnalytics
Oct 08, 06:15"	08-10-2025	06:15	"? 1 Day to Go! Don’t miss tomorrow’s webinar on ""Revolutionizing Infectious Disease Diagnosis in Pediatric Critical Care with NGS"" Discover how Next-Generation Sequencing (NGS) is transforming pediatric critical care with faster, more accurate pathogen detection — enabling timely interventions and better outcomes. ?? 9th October 2025 | ?? 5 – 6 PM ?? Speaker: Dr. Mukul Pandey – PICU Head, St. Stephen’s Hospital, Delhi Moderator: Dr. Koyel Ghosh – Medical Science Liaison, HaystackAnalytics ?? Last chance to register – secure your spot now! https://lnkd.in/drVKDh3K Vivek Singh Rathore Mohammad Umair Dr. Nidhi G. Gopal Singh Abhimanyuu Nambisan Pranav Godse Gitesh Srivastava Rijul Pulikkal #Webinar #1DayToGo #NGS #PediatricCare #InfectiousDiseases #Diagnostics #HealthcareInnovation #HaystackAnalytics"	4	0	0	13	430	3.95	3.02	30	Static	0
"HaystackAnalytics
Oct 08, 11:10"	08-10-2025	11:10	?? Meet ?????????????????????? ?????????????????? — the ghost of the clean room! A microbe so rare it’s only found in NASA & ESA clean rooms… and it might just hitch a ride to space ???? Could this tiny survivor hold the key to our next discovery beyond Earth? ?? ?? Follow us for more strange stories from the microbial world! Abhimanyuu Nambisan Pranav Godse siddharth sasane Shuja A. Rohan S SALVI Gitesh Srivastava Anupama Pradeepkumar Namith N Rijul Pulikkal Vivek Singh Rathore Mohammad Umair Gopal Singh #HealthCare #PublicHealth #microbiology #sciencefacts #sciencefun #astrobiology	15	0	3	48	"1,101"	5.99	4.36	31	Video	0
"HaystackAnalytics
Oct 09, 08:02"	09-10-2025	08:02	"Only 5 days to go! Join us for an insightful session with Dr. Shamim Akhtar , HOD – Pulmonology, St. Stephen’s Hospital, Delhi, as he discusses the clinical impact of NGS in diagnosing Lower Respiratory Tract Infections. ?? 14th October, 2025 ?? 5:00 PM – 6:00 PM (IST) Moderated by Dr Koyel Ghosh, Medical Science Liaison, HaystackAnalytics. ?? Don’t miss this chance to explore how NGS is transforming infectious disease diagnostics Register now: https://lnkd.in/dkVU_Tbz Vivek Singh Rathore Mohammad Umair Dr. Nidhi G. Gopal Singh Abhimanyuu Nambisan siddharth sasane Shuja A. Rohan S SALVI Gitesh Srivastava Rijul Pulikkal #infexnNGS #Webinar #NGS #RespiratoryCare #Pulmonology"	9	0	1	7	500	3.4	1.4	32	Static	0
